ocid,id,initiationType,buyer_id,buyer_name,language,value_amount,value_currency,numberOfTenderers,date,tag,release_id,winer_name,numero,eligibilityCriteria,description
ocds-5wno2w-LICS-GADMEC-001-2022-79292,LICS-GADMEC-001-2022-79292-2023-02-01T10:50:41.300Z-compiled,tender,EC-RUC-1360000550001-79292,GOBIERNO MUNICIPAL DEL CANTON EL CARMEN,es,159880.69,USD,3,2023-02-01T05:52:25-05:00,"[""planning"",""tender"",""award""]",LICS-GADMEC-001-2022-79292-2023-02-01T10:50:41.300Z-compiled,ASEGURADORA DEL SUR C. A.,2,"Experiencia,Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica",CUMPLE CON TODO LO SOLICITADO EN LOS PLIEGOS Y TERMINOS DE REFERENCIA
ocds-5wno2w-LICSG-GPI-002-2022-12001,LICSG-GPI-002-2022-12001-2023-02-10T11:08:15.561Z-compiled,tender,EC-RUC-1060000180001-12001,GOBIERNO PROVINCIAL DE IMBABURA,es,140072,USD,4,2023-02-10T06:09:23-05:00,"[""planning"",""tender"",""award""]",LICSG-GPI-002-2022-12001-2023-02-10T11:08:15.561Z-compiled,SEGUROS ALIANZA S A,2,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica","Por convenir a los intereses institucionales y, por cumplir con la integridad de su oferta, los términos de referencia y requisitos mínimos establecidos en los pliegos."
ocds-5wno2w-LICS-CGDS-001-2022-591897,LICS-CGDS-001-2022-591897-2023-02-27T11:12:36.466Z-compiled,tender,EC-RUC-0360033400001-591897,CENTRO DE GESTIÓN Y DESARROLLO SOCIAL DEL GOBIERNO AUTÓNOMO DESCENTRALIZADO DE LA PROVINCIA DEL CAÑAR,es,7232.14,USD,2,2023-02-27T06:17:12-05:00,"[""planning"",""tender"",""award"",""contract""]",LICS-CGDS-001-2022-591897-2023-02-27T11:12:36.466Z-compiled,SWEADEN COMPAÑIA DE SEGUROS S.A.,1,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica","Adjudicar el contrato para la ?CONTRATACIÓN DE LAS PÓLIZAS DE SEGUROS DE INCENDIO LÍNEAS ALIADAS, ROBO, EQUIPO ELECTRÓNICO, ROTURA DE MAQUINARIA, FIDELIDAD PÚBLICA, RESPONSABILIDAD CIVIL Y VEHÍCULOS DE PROPIEDAD DEL CENTRO DE GESTIÓN Y DESARROLLO SOCIAL DEL GOBIERNO AUTÓNOMO DESCENTRALIZADO DE LA PROVINCIA DEL CAÑAR?, al oferente SWEADEN COMPAÑIA DE SEGUROS S.A., por un valor de USD 3.121,06 TRES MIL CIENTO VEINTE Y UNO CON 06/100 DÓLARES DE LOS ESTADOS UNIDOS DE NORTE AMÉRICA, sin incluir IVA y los impuestos de ley, y con un plazo de ejecución de 365 días, contados a partir de la fecha de la suscripción del contrato de seguro póliza, por haber cumplido a satisfacción con la normativa legal exigida en los pliegos precontractuales, y en consecuencia se ha considerado la oferta más conveniente a los intereses institucionales y del Estado, disponiendo su inmediata notificación a través del portal  www.compraspúblicas.gob.ec"
ocds-5wno2w-LICS-GADMM-01-2021-80841,LICS-GADMM-01-2021-80841-2022-02-07T17:41:04.138Z-compiled,tender,EC-RUC-1860000990001-80841,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE MOCHA,es,23539.6,USD,2,2022-02-07T12:43:00-05:00,"[""planning"",""tender"",""award""]",LICS-GADMM-01-2021-80841-2022-02-07T17:41:04.138Z-compiled,COMPAÑIA DE SEGUROS CONDOR S.A.,2,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica","ADJUDICAR, la ?CONTRATACIÓN DE: PÓLIZAS DE SEGURO DE LOS VEHÍCULOS LIVIANOS, PESADOS, ROTURA DE MAQUINARIA, INCENDIO, ROBO Y ASALTO, EQUIPO ELECTRÓNICO, EQUIPO Y MAQUINARIA Y FIDELIDAD PUBLICA PARA LOS BIENES Y SERVIDORES DEL GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE MOCHA 2021?, SIGNADO CON EL CODIGO: LICS-GADMM-01-2021, a favor de la compañía de SEGUROS CONDOR S.A., por un monto de $21.568,27 VEINTE UN MIL QUINIENTOS SESENTA Y OCHO CON 27/100 DOLARES DE LOS ESTADOS UNIDOS DE AMERICA SIN INCLUIR IVA, PLAZO 365 DIAS CONTADOS A PARTIR DE LA FECHA DE ADJUDICACION."
ocds-5wno2w-LIC-SIS-001-2021-519498,LIC-SIS-001-2021-519498-2022-05-04T11:27:42.991Z-compiled,tender,EC-RUC-1768174880001-519498,SERVICIO INTEGRADO DE SEGURIDAD ECU 911,es,926699,USD,2,2022-05-04T06:34:07-05:00,"[""planning"",""tender"",""award"",""contract""]",LIC-SIS-001-2021-519498-2022-05-04T11:27:42.991Z-compiled,SEGUROS ALIANZA S A,1,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica","Por cumplir con los requisitos mínimos requeridos en los pliegos y por obtener el puntaje más alto en la etapa de evaluación por puntaje, el valor de USD$531.347,97 sin incluir IVA, y con un plazo de ejecución de 365 días calendarios un año contados a partir de las 12:00 pm del 17 de febrero de 2022."
ocds-5wno2w-LICS-CBMM-03-2022-22249,LICS-CBMM-03-2022-22249-2022-02-07T17:41:09.306Z-compiled,tender,EC-RUC-1768099810001-22249,CUERPO DE BOMBEROS MUNICIPAL DE MACHALA,es,105000,USD,3,2022-02-07T12:43:00-05:00,"[""planning"",""tender"",""award""]",LICS-CBMM-03-2022-22249-2022-02-07T17:41:09.306Z-compiled,SEGUROS ALIANZA S A,2,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica",Cumple con lo solicitado en los pliegos.
ocds-5wno2w-LICS-BEVLIQ-2022-001-2463,LICS-BEVLIQ-2022-001-2463-2022-08-16T13:22:32.344Z-compiled,tender,EC-RUC-1760002870001-2463,BANCO ECUATORIANO DE LA VIVIENDA EN LIQUIDACION,es,27678.57,USD,1,2022-08-16T08:36:05-05:00,"[""planning"",""tender"",""award"",""contract""]",LICS-BEVLIQ-2022-001-2463-2022-08-16T13:22:32.344Z-compiled,ASEGURADORA DEL SUR C. A.,1,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico","Conforme la recomendación de la Comisión Técnica la cual fue acogida por la máxima autoridad, el presente proceso se adjudica por cuanto ha sido la única oferta presentada, ha obtenido la calificación de 96,14, cuya oferta económica fue de USD 16.862,61 dieciséis mil ochocientos sesenta y dos dólares de los Estados Unidos de América 61/100 sin IVA, la misma que conforme el presupuesto referencial establecido de USD. 27.678,57 veintisiete mil seiscientos setenta y ocho dólares de los Estados Unidos de América 57/100, sin IVA, evidencia un ahorro para la entidad de USD 10.815,96 lo que representa un 39,08% menor al presupuesto referencial. Además cumple con todos los requerimientos solicitados por la entidad en los respectivos Términos de Referencia y pliegos aprobados."
ocds-5wno2w-LIC-INPC-001-2022-3310,LIC-INPC-001-2022-3310-2022-02-26T10:12:24.088Z-compiled,tender,EC-RUC-1760006000001-3310,INSTITUTO NACIONAL DE PATRIMONIO CULTURAL,es,79768.86,USD,5,2022-02-26T05:14:10-05:00,"[""planning"",""tender"",""award""]",LIC-INPC-001-2022-3310-2022-02-26T10:12:24.088Z-compiled,ASEGURADORA DEL SUR C. A.,2,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica",ASEGURADORA DEL SUR C.A. CUMPLE CON LOS PARAMETROS SOLICITADOS POR EL INPC
ocds-5wno2w-LICS-CBGMCM-001-2022-96969,LICS-CBGMCM-001-2022-96969-2022-02-18T09:47:53.411Z-compiled,tender,EC-RUC-1460008510001-96969,CUERPO DE BOMBEROS DEL GOBIERNO MUNICIPAL DEL CANTON MORONA,es,9991.06,USD,1,2022-02-18T04:49:07-05:00,"[""planning"",""tender"",""award"",""contract""]",LICS-CBGMCM-001-2022-96969-2022-02-18T09:47:53.411Z-compiled,SEGUROS DEL PICHINCHA S. A. COMPAÑIA DE SEGUROS Y REASEGUROS,1,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica","Obtuvo un puntaje de 100 puntos y cumplió con los requisitos mínimos solicitados en el pliego elaborado por la Institución, en consecuencia no se contrapone a los intereses de la misma."
ocds-5wno2w-LICSG-DPE-001-2022-58233,LICSG-DPE-001-2022-58233-2022-03-16T10:13:03.600Z-compiled,tender,EC-RUC-1760013130001-58233,DEFENSORIA DEL PUEBLO,es,37794.76,USD,4,2022-03-16T05:15:42-05:00,"[""planning"",""tender"",""award"",""contract""]",LICSG-DPE-001-2022-58233-2022-03-16T10:13:03.600Z-compiled,SEGUROS ALIANZA S A,1,"Oferta Económica,Certificados de calidad de bienes,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica","Ofrece a la Defensoría del Pueblo las mejores condiciones presentes y futuras en los aspectos técnicos, financieros y legales"
